stopid,name_e,name_t,lat,lon
A01,Suvarnabhumi,สุวรรณภูมิ,13.69808701,100.7522355
A02,Lat Krabang,ลาดกระบัง,13.72773403,100.7486244
A03,Ban Thap Chang,บ้านทับช้าง,13.73284402,100.6914572
A04,Hua Mak,หัวหมาก,13.73795756,100.6453466
A05,Ramkhamhaeng,รามคำแหง,13.74295281,100.6003118
A06,Makkasan,มักกะสัน,13.75105968,100.5611013
A07,Ratchaprarop,ราชปรารภ,13.75513782,100.5418289
A08,Phaya Thai,พญาไท,13.75671306,100.5349773
N24,Khu Khot,คูคต,13.932341,100.646626
N23,Yaek Kor Por Aor,แยกคปอ.,13.924983,100.625876
N22,Royal Thai Air Force Museum,พิพิธภัณฑ์กองทัพอากาศ,13.917945,100.621715
N21,Bhumibol Adulyadej Hospital,โรงพยาบาลภูมิพล-อดุลยเดช,13.910722,100.617423
N20,Saphan Mai,สะพานใหม่,13.896595,100.609132
N19,Sai Yud,สายหยุด,13.888442,100.604292
N18,Phahon Yothin 59,พหลโยธิน 59,13.882454,100.600766
N17,Wat Phra Sri Mahathat,วัดพระศรีมหาธาตุ,13.87518,100.5967
N16,11th Infantry Regiment,กรมทหารราบที่ 11,13.867528,100.59194
N15,Bang Bua,บางบัว,13.855994,100.585171
N14,Royal Forest Department,กรมป่าไม้,13.8502601,100.5817619
N13,Kasetsart University,มหาวิทยาลัยเกษตรศาสตร์,13.8422956,100.5771266
N12,Sena Nikhom,เสนานิคม,13.8363067,100.5737435
N11,Ratchayothin,รัชโยธิน,13.8298358,100.5698021
N10,Phahon Yothin 24,พหลโยธิน 24,13.82403,100.5664586
N09,Ha Yaek Lat Phrao,ห้าแยกลาดพร้าว,13.81644,100.56195
N08,Mo Chit,หมอชิต,13.8024977,100.5538045
N07,Saphan Khwai,สะพานควาย,13.7937663,100.5497095
N05,Ari,อารีย์,13.7796464,100.544598
N04,Sanam Pao,สนามเป้า,13.772642,100.542103
N03,Victory Monument,อนุสาวรีย์ชัยสมรภูมิ,13.762793,100.537085
N02,Phaya Thai,พญาไท,13.757061,100.5338743
N01,Ratchathewi,ราชเทวี,13.7519875,100.5315773
CEN_SU,Siam,สยาม,13.7456058,100.5341187
E01,Chit Lom,ชิดลม,13.7440749,100.5430158
E02,Phloen Chit,เพลินจิต,13.743044,100.548974
E03,Nana,นานา,13.740523,100.555434
E04,Asok,อโศก,13.7370587,100.5603061
E05,Phrom Phong,พร้อมพงษ์,13.7304311,100.5696901
E06,Thong Lo,ทองหล่อ,13.724286,100.5784296
E07,Ekkamai,เอกมัย,13.7195166,100.5851075
E08,Phra Khanong,พระโขนง,13.7151737,100.5912598
E09,On Nut,อ่อนนุช,13.7055725,100.6009535
E10,Bang Chak,บางจาก,13.696738,100.605321
E11,Punnawithi,ปุณณวิถี,13.6892688,100.6089881
E12,Udom Suk,อุดมสุข,13.679517,100.6093088
E13,Bang Na,บางนา,13.6681228,100.6046478
E14,Bearing,แบริ่ง,13.6612072,100.6019066
E15,Samrong,สำโรง,13.646192,100.595653
E16,Pu Chao,ปู่เจ้า,13.6372778,100.5920068
E17,Chang Erawan,ช้างเอราวัณ,13.62145,100.59011
E18,Royal Thai Naval Academy,โรงเรียนนายเรือ,13.60844,100.59488
E19,Pak Nam,ปากน้ำ,13.6020916,100.5971145
E20,Srinagarindra,ศรีนครินทร์,13.592079,100.608906
E21,Phraek Sa,แพรกษา,13.584324,100.608027
E22,Sai Luat,สายลวด,13.5776895,100.6053599
E23,Kheha,เคหะฯ,13.567647,100.607681
W01,National Stadium,สนามกีฬาแห่งชาติ,13.746473,100.529073
CEN_SI,Siam,สยาม,13.7456058,100.5341187
S01,Ratchadamri,ราชดำริ,13.73945,100.53944
S02,Sala Daeng,ศาลาแดง,13.7284782,100.5341135
S03,Chong Nonsi,ช่องนนทรี,13.723718,100.5295147
S04,Saint Louis,เซนต์หลุยส์,13.72091,100.52692
S05,Surasak,สุรศักดิ์,13.719228,100.5215297
S06,Saphan Taksin,สะพานตากสิน,13.7188,100.51409
S07,Krung Thon Buri,กรุงธนบุรี,13.72085,100.50272
S08,Wongwian Yai,วงเวียนใหญ่,13.72105,100.49523
S09,Pho Nimit,โพธิ์นิมิตร,13.71916,100.48584
S10,Talat Phlu,ตลาดพลู,13.7142104,100.4768237
S11,Wutthakat,วุฒากาศ,13.71307,100.46884
S12,Bang Wa,บางหว้า,13.7207756,100.4577677
G01,Krung Thon Buri,กรุงธนบุรี,13.721103,100.503684
G02,Charoen Nakhon,เจริญนคร,13.726478,100.509032
G03,Khlong San,คลองสาน,13.730379,100.507646
